n01807496 86
n02916936 465
n03794056 674
n10565667 975
n02978881 481
n03126707 517
n03394916 566
n07693725 923
n03710193 637
n02326432 237
n02096437 267
n02782093 417
n01847000 97
n04044716 755
n07753275 945
n01818515 88
n02802426 430
n04136333 775
n03908714 710
n03535780 602
n11879895 976
n03534580 601
n02676566 402
n09468604 971
n03877845 698
n02094114 258
n03000247 490
n03781244 663
n02113023 203
n03443371 572
n02256656 327
n01677366 39
n04482393 862
n03062245 503
n09399592 968
n03127925 519
n02264363 328
n02087394 159
n04542943 883
n02111129 199
n02074367 149
n02892767 459
n01968897 117
n03724870 643
n02169497 321
n02536864 391
n01728920 53
n04204347 791
n03888257 701
n02483362 368
n07615774 921
n02128757 216
n01484850 2
n04154565 784
n04344873 831
n01770393 71
n09256479 965
n07720875 937
n02107574 189
n03196217 530
n02871525 454
n03498962 596
n03290653 548
n01819313 89
n07875152 956
n07714571 928
n06785654 910
n01871265 101
n02091032 244
n02102318 170
n02110063 196
n01796340 81
n03874293 694
n04265275 811
n02526121 390
n02835271 444
n03983396 737
n07749582 943
n03961711 729
n01496331 5
n03272010 546
n01770081 70
n03388043 562
n03188531 529
n07584110 917
n02102480 171
n02837789 445
n02089973 167
n01924916 110
n02091244 246
n04487394 867
n04335435 829
n01534433 13
n04090263 764
n04517823 874
n02090622 242
n03721384 642
n03710637 638
n03950228 725
n02097209 271
n02321529 236
n02109047 292
n02095314 261
n03717622 640
n01601694 20
n13040303 986
n02056570 145
n09835506 973
n01739381 59
n02480855 366
n01773157 72
n03207941 534
n02667093 399
n03271574 545
n04149813 781
n01740131 60
n02233338 326
n07697313 925
n02687172 403
n03602883 613
n02749479 413
n02101556 289
n07583066 916
n03720891 641
n01530575 10
n01943899 112
n03388183 563
n04074963 761
n01797886 82
n02799071 429
n09229709 963
n03873416 693
n02058221 146
n01582220 18
n02097298 272
n03871628 692
n03742115 648
n04118776 769
n03777568 661
n02879718 456
n04019541 746
n02486261 371
n02883205 457
n02102177 169
n03637318 619
n01694178 47
n03179701 526
n02328150 335
n03344393 554
n03379051 560
n03529860 598
n04612504 906
n03538406 603
n02099712 281
n01698640 50
n03995372 740
n02666196 398
n04033995 750
n02795169 427
n02504458 386
n02009229 131
n03729826 644
n02093754 255
n03042490 500
n02980441 483
n03627232 616
n04532670 880
n01491361 3
n04209133 793
n01882714 105
n07768694 949
n02486410 372
n01756291 68
n02988304 485
n04152593 782
n04251144 801
n03843555 686
n04356056 837
n01693334 46
n03249569 541
n04037443 751
n02112018 201
n04548280 884
n04336792 830
n03425413 571
n02607072 393
n02493793 381
n02783161 418
n02669723 400
n01644373 31
n02492660 379
n02894605 460
n04404412 995
n04476259 860
n03314780 551
n04033901 749
n02317335 235
n02487347 373
n02134084 317
n04505470 870
n03201208 532
n02699494 406
n03837869 682
n01749939 64
n03125729 516
n04254680 805
n02950826 471
n03814639 678
n06874185 912
n03733131 645
n03887697 700
n03942813 722
n03495258 594
n04086273 763
n02948072 470
n03095699 510
n02807133 433
n03661043 624
n04483307 863
n02119789 308
n03376595 559
n02206856 226
n04147183 780
n03527444 597
n03697007 634
n04228054 795
n04579145 893
n02443484 359
n02096177 265
n03372029 558
n02804610 432
n02114548 304
n04579432 894
n02088632 164
n04254777 806
n02280649 331
n03761084 651
n02086910 157
n04409515 996
n02114712 207
n03000134 489
n04005630 743
n01776313 78
n03594734 608
n02085936 153
n02110341 197
n03924679 713
n02398521 344
n03743016 649
n01755581 67
n03785016 665
n01697457 49
n01824575 91
n03494278 593
n04099969 765
n04040759 753
n07717556 934
n02268443 231
n02977058 480
n01641577 30
n04350905 834
n02012849 134
n04523525 876
n07734744 939
n03868863 691
n01774750 76
n07565083 914
n03874599 695
n03916031 711
n03599486 612
n02107142 187
n01682714 40
n04041544 754
n02115641 208
n02391049 340
n02111500 200
n01806567 85
n07760859 948
n02106662 186
n01632458 28
n02279972 233
n02002724 128
n03481172 587
n02704792 408
n01955084 116
n02007558 130
n04525305 878
n04204238 790
n04550184 886
n03929660 714
n02091134 245
n01748264 63
n01843065 95
n04560804 891
n03590841 607
n03935335 719
n04192698 787
n02096585 268
n03388549 564
n04366367 839
n03854065 687
n04116512 767
n03793489 673
n07930864 960
n03838899 683
n02514041 389
n02690373 404
n02281787 332
n03775071 658
n03485794 591
n04509417 872
n03450230 578
n01443537 1
n02692877 405
n02086079 154
n04554684 889
n04229816 796
n01632777 29
n03649909 621
n04330267 827
n03110669 513
n01990800 126
n04447861 853
n02123159 310
n03804744 677
n02107683 190
n02086646 156
n04201297 789
n02025239 139
n02094433 260
n02396427 342
n03764736 653
n02096051 264
n04286575 818
n03676483 629
n01855032 98
n02120505 309
n02037110 143
n04485082 864
n09421951 969
n02093991 257
n04328186 826
n01978455 119
n02051845 144
n03457902 580
n04493381 868
n01704323 51
n02641379 395
n03899768 706
n02859443 449
n02493509 380
n01983481 122
n03666591 626
n01768244 69
n12768682 982
n03832673 681
n03633091 618
n02116738 209
n03657121 622
n03786901 666
n03895866 705
n01978287 118
n09193705 962
n02088364 162
n01687978 42
n03773504 657
n02097474 273
n07695742 924
n12144580 979
n01560419 16
n02992529 487
n03146219 524
n03445777 574
n02488702 375
n02128925 314
n02509815 387
n03127747 518
n07753592 946
n02128385 313
n03930313 716
n04153751 783
n04332243 828
n03902125 707
n02823428 440
n01806143 84
n02089867 166
